"x"
"1" "LEADERS	That  SHOULD  be a cause for celebration on both sides of the border"
"245" "BRITAIN	Michael Liebreich, a green-energy entrepreneur and possible Tory candidate for mayor of London, suggests he  SHOULD  start by scrapping much of the existing subsidy regime and fight for a more integrated and competitive European energy market"
"246" "BRITAIN	Unleash the small battalions Mr Cameron  SHOULD  view this as a postdiluvian opportunity"
"247" "INTERNATIONAL	The problem here is political rather than regulatory: how  SHOULD  mining revenues be distributed"
"248" "INTERNATIONAL	The UN Development Programme says rich countries  SHOULD  switch some of the staggering $35 billion a year they spend subsidising fishing on the high seas (through things like cheap fuel and vessel-buy-back programmes) to creating marine reserves—protected areas like national parks"
"249" "INTERNATIONAL	Still others say that efforts  SHOULD  be concentrated on improving the regional bodies, by giving them more money, greater enforcement powers and mandates that include the overall health of their bits of the ocean"
"250" "BUSINESS	Executives who have used pentesters acknowledge that clients  SHOULD  choose them carefully, and call them back whenever big changes are made to computer systems"
"251" "BUSINESS	” He suggested that the next iteration of Martin Scorsese’s new film, “The Wolf of Wall Street”,  SHOULD  be set on the West Coast with “all the money, all the opulence and about 10% of the sex”"
"252" "BUSINESS	The wolves of the world wide web  SHOULD  beware"
"253" "LEADERS	And the new president  SHOULD  be untainted by the score-settling and nest-feathering that have blighted Ukraine’s politics"
"254" "LEADERS	Yulia Tymoshenko, the Orange veteran and two-time prime minister, who was sprung from jail as Mr Yanukovych fled,  SHOULD  keep out of it"
"255" "LEADERS	That  SHOULD  come in two parts: first, several billion dollars in emergency loans to tide the country over until after its election, then a big multi-year package, financed largely through the IMF"
"256" "LEADERS	The interim government  SHOULD  begin these reforms, to take some of the heat off the elected one"
"257" "LEADERS	They  SHOULD  see that incentivising democratic change in this pivotal country, and welcoming it to the European club if that is accomplished, is as much in their interests as Ukraine’s"
"258" "LEADERS	Right and wrong, not west and east The EU and its allies  SHOULD  do all this because it is right, rather than to rile Vladimir Putin"
"259" "LEADERS	But rowdy opposition leaders who have blocked city streets  SHOULD  take down the barricades and instead "
"260" "LEADERS	A new telecoms regulator will shortly decide whether their companies are so powerful that they  SHOULD  be handicapped with tougher rules than their smaller competitors—or even broken up"
"261" "LEADERS	This  SHOULD  change with the recent creation of a new, more powerful regulator, Ifetel"
"262" "LEADERS	By March 9th it has to declare whether both firms are “dominant”, which they clearly are, and  SHOULD  therefore be subject to tougher regulation"
"263" "LEADERS	The regulator’s next, and even more important, move  SHOULD  be to force América Móvil to offer other firms access to its infrastructure, so they can set up rival services"
"264" "LEADERS	But Mr Jonathan  SHOULD  hurry to mitigate it"
"265" "LEADERS	Mr Jonathan  SHOULD  now go out of his way to bolster the central bank’s autonomy through his words and his actions"
"266" "LETTERS	Worse, thinking they  SHOULD  be able to decide for themselves on important issues"
"267" "BRIEFING	“We will be a controlling organ and they  SHOULD  know that if they betray us, we will come to each one of them and demand answers on behalf of our dead comrades—the heroes of Ukraine"
"268" "AMERICAS	Introducing more flexibility into the exchange rate  SHOULD  ease the shortage of dollars, but it is also likely to drive up inflation as a falling bolívar increases the cost of imports"
"269" "ASIA	The BJP’s hostility to foreigners investing in Indian shops is likelier to persist but it  SHOULD  grow readier to see outsiders involved in insurance and other financial services"
"270" "EUROPE	The leader of the main opposition party, Kemal Kilicdaroglu, this week told the prime minister what he  SHOULD  do: “Get on a helicopter and leave the country,” he said"
"271" "EUROPE	This  SHOULD  result in price cuts of around 12% for hard-pressed Greek consumers"
"272" "EUROPE	Most think they  SHOULD  wait until Ukraine holds presidential elections, changes the constitution and then holds a ballot for the new parliament"
"273" "EUROPE	Back to the future The signature ceremony would be a good time to answer the question Europeans have tried to avoid for a decade:  SHOULD  they offer a “membership perspective” to Ukraine"
"274" "EUROPE	They  SHOULD  be more explicit and say that a future democratic Ukraine would be eligible to apply, even though the prospect is far off"
"275" "EUROPE	The Europeans  SHOULD  also rethink the neighbourhood policy, which lumps together disparate countries merely because they happen to be nearby"
"276" "EUROPE	Russia's behaviour in Ukraine  SHOULD  be a warning to all Europeans of the danger of embracing Vladimir Putin closely"
"277" "BRITAIN	Alex Salmond, Scotland’s first minister, says his Scottish National Party would do a better job of exploiting the North Sea,  SHOULD  the country plump for independence in September"
"278" "BRITAIN	A revenue-maximising government  SHOULD  prefer an auction based on single sealed bids, as the committee suggests"
"279" "BRITAIN	It will do almost everything in its power, because in one regard the wishful Tories are right: most German officials are extremely anxious that Britain  SHOULD  not leave the European Union"
"280" "BRITAIN	They see it as a like-minded agitator for competitiveness and against the bureaucrats who presume to tell Europeans what receptacles olive oil  SHOULD  be kept in"
"281" "BRITAIN	This is the context in which Mrs Merkel’s much-rehashed comment last year, that competences can travel from Brussels to national capitals as well as vice versa,  SHOULD  be seen"
"282" "BRITAIN	She was not arguing that the EU’s remit  SHOULD  be trimmed"
"283" "INTERNATIONAL	As if all that were not enough, Wikipedia’s new boss will also need to work out how the transmission of knowledge  SHOULD  keep pace with changing patterns of consumption"
"284" "BUSINESS	And  SHOULD  the relationship preclude Dish from airing Televisa and Azteca’s content without paying"
"285" "BUSINESS	Mr Peltz’s fusillade is also a broader claim about how companies with lots of consumer brands  SHOULD  be structured"
"286" "BUSINESS	The firm  SHOULD  meet its target of 600 new stores by 2016, as around half of the grocery market is still in the hands of smaller retailers, according to PMR, a market-research firm focusing on central Europe"
"287" "BUSINESS	Paul Meehan, an executive at Bain & Company, says he advises clients that haven’t done so that they  SHOULD  regard their former staff as “an untapped, hidden asset that isn’t fully exploited”"
"288" "BUSINESS	The two killers the wind-turbine makers  SHOULD  fear are not the Chinese but GE and Siemens, two huge Western conglomerates"
"289" "BUSINESS	It  SHOULD  reform its crippled market in emissions permits, in particular by scrapping the exemptions from having to buy permits that many polluting industries enjoy"
"290" "LEADERS	But he has also demanded that the West keep out and that the new government in Kiev  SHOULD  once again look towards Russia"
"291" "LEADERS	Mr Putin has offered a way out and the West  SHOULD  grasp it"
"292" "LEADERS	You say Kiev, I say Kyiv The West is not about to go to war over Ukraine, nor  SHOULD  it"
"293" "LEADERS	It is time to impose visa bans and asset freezes on regime-connected Russians (the craven parliamentarians who rubber-stamped their army’s deployment  SHOULD  be among the first batch); to stop arms sales and cut Kremlin-friendly financial firms from the global financial system; to prepare for an embargo on Russian oil and gas, in case Ukrainian troops are slaughtered in Crimea or Russia invades eastern Ukraine"
"294" "LEADERS	And the West  SHOULD  strengthen its ability to resist the Kremlin’s revanchism: Europe "
"295" "LEADERS	But some have wasted enough shareholders’ money, and  SHOULD  head home"
"296" "LEADERS	But far more powerful than either of those trends has been the belief that Western firms  SHOULD  pile into emerging markets"
"297" "LEADERS	And struggling multinationals  SHOULD  not assume that when economic growth recovers it will be as fast or as widespread as in the past"
"298" "LEADERS	First, they  SHOULD  screen their portfolios for strategic relevance and financial returns"
"299" "LEADERS	The strongest firms  SHOULD  consider acquisitions to boost their market shares—but make sure they do not overpay"
"300" "LEADERS	African governments  SHOULD  provide them universally"
"301" "LEADERS	Cyprus’s experience  SHOULD  serve as a warning against too violent a swing away from bail-outs, in Europe and beyond, and as a reminder of why banks have previously been rescued"
